@@,itemlabel,item,startdate,enddate
->,Rashid bin Majid Al Mualla->Sheikh Rashid bin Majid Al Mualla,Q60748540,1768,1820
->,Abdullah bin Rashid Al Mualla->Sheikh Abdullah bin Rashid Al Mualla,Q60739904,1820,1853
->,Ali bin Abdullah Al Mualla->Sheikh Ali bin Abdullah Al Mualla,Q57418977,1853,1873
->,Ahmad bin Abdullah Al Mualla->Sheikh Ahmad bin Abdullah Al Mualla,Q57418909,1873,1904
->,Rashid bin Ahmad Al Mualla->Sheikh Rashid bin Ahmad Al Mualla,Q57584838,1904,1922
->,Abdullah bin Rashid Al Mualla II->Sheikh Abdullah bin Rashid Al Mualla II,Q57418911,1922,1923
->,Hamad bin Ibrahim Al Mualla->Sheikh Hamad bin Ibrahim Al Mualla,Q57418912,1923,1929
->,Ahmad bin Rashid Al Mu'alla->Sheikh Ahmad bin Rashid Al Mualla,Q4695515,1929,1981
->,Rashid III bin Ahmad Al Mu'alla->Sheikh Rashid bin Ahmad Al Mualla II,Q8973536,1981,2009
->,Saud bin Rashid Al Mu'alla->Sheikh Saud bin Rashid Al Mualla,Q347571,2009,
