item,itemLabel,startDate,endDate,psid
Q347571,Saud bin Rashid Al Mu'alla,2009,,Q347571-2F8D3F7B-3E87-466D-BBA7-316E8AA5512C
Q4695515,Ahmad bin Rashid Al Mu'alla,1929,1981,Q4695515-6882D075-702F-4303-BD2A-5571FE3D865E
Q57418909,Ahmad bin Abdullah Al Mualla,1873,1904,Q57418909-816BB6FC-7BE2-4D32-8C3D-2C79A2887A00
Q57418911,Abdullah bin Rashid Al Mualla II,1922,1923,Q57418911-54547972-101F-4E7F-A5EB-B2C12C4226BC
Q57418912,Hamad bin Ibrahim Al Mualla,1923,1929,Q57418912-1156CEA1-B83D-40D6-85F2-D5746F71B72E
Q57418977,Ali bin Abdullah Al Mualla,1853,1873,Q57418977-5C828B19-D08D-48A0-AD62-631117006A1F
Q57584838,Rashid bin Ahmad Al Mualla,1904,1922,Q57584838-BB40F245-E970-4F1C-A127-04FADA66967F
Q60739904,Abdullah bin Rashid Al Mualla,1820,1853,Q60739904-C3547A26-60A4-464C-9178-5146DE7738AC
Q60748540,Rashid bin Majid Al Mualla,1768,1820,Q60748540-3353DA19-2755-4456-8082-04E8562AE925
Q8973536,Rashid III bin Ahmad Al Mu'alla,1981,2009,Q8973536-32853A84-A63D-4484-AF6D-8F84A4828FD5
